Valgdistrikt,Partier,Forhånd,Valgting,Stemmer,Endr-sum,Fordeling,Endr-for,Mandat,Endr-Mandat
Østfold,Ap,24817.0,24528.0,49345.0,-2200.0,30.5,-1.6,3.0,0.0
Østfold,Høyre,15598.0,14613.0,30211.0,-8053.0,18.7,-5.1,2.0,0.0
Østfold,Frp,9329.0,11198.0,20527.0,-7654.0,12.7,-4.8,1.0,-1.0
Østfold,SV,5525.0,4315.0,9840.0,2804.0,6.1,1.7,1.0,0.0
Østfold,Sp,10082.0,12767.0,22849.0,8906.0,14.1,5.4,2.0,1.0
Østfold,KrF,2576.0,2838.0,5414.0,-1397.0,3.3,-0.9,0.0,0.0
Østfold,Venstre,2408.0,2363.0,4771.0,893.0,2.9,0.5,0.0,0.0
Østfold,MDG,2974.0,1808.0,4782.0,590.0,3.0,0.3,0.0,0.0
Østfold,Rødt,4258.0,3160.0,7418.0,3983.0,4.6,2.4,0.0,0.0
Østfold,Andre,3675.0,3064.0,6739.0,3204.0,4.2,2.0,0.0,0.0
Akershus,Ap,55346.0,40263.0,95609.0,6920.0,25.8,-0.5,5.0,0.0
Akershus,Høyre,64224.0,37215.0,101439.0,-3012.0,27.4,-3.6,6.0,0.0
Akershus,Frp,21035.0,17744.0,38779.0,-11962.0,10.5,-4.6,2.0,-1.0
Akershus,SV,15889.0,9351.0,25240.0,7381.0,6.8,1.5,1.0,0.0
Akershus,Sp,17296.0,15288.0,32584.0,12365.0,8.8,2.8,2.0,1.0
Akershus,KrF,4388.0,3192.0,7580.0,-259.0,2.0,-0.3,0.0,0.0
Akershus,Venstre,15224.0,10169.0,25393.0,3540.0,6.9,0.4,1.0,0.0
Akershus,MDG,12362.0,5099.0,17461.0,5002.0,4.7,1.0,1.0,1.0
Akershus,Rødt,9124.0,5448.0,14572.0,8030.0,3.9,2.0,1.0,1.0
Akershus,Andre,6924.0,4720.0,11644.0,5268.0,3.1,1.3,0.0,0.0
Oslo,Ap,50857.0,36301.0,87158.0,-16931.0,23.0,-5.4,4.0,-1.0
Oslo,Høyre,55643.0,33699.0,89342.0,-7743.0,23.5,-2.9,5.0,-1.0
Oslo,Frp,13593.0,9191.0,22784.0,-12253.0,6.0,-3.5,1.0,-1.0
Oslo,SV,32789.0,17593.0,50382.0,16330.0,13.3,4.0,3.0,1.0
Oslo,Sp,7097.0,4856.0,11953.0,4175.0,3.1,1.0,0.0,0.0
Oslo,KrF,4222.0,2700.0,6922.0,-921.0,1.8,-0.3,0.0,0.0
Oslo,Venstre,21881.0,16261.0,38142.0,7209.0,10.0,1.6,3.0,1.0
Oslo,MDG,22134.0,10064.0,32198.0,10345.0,8.5,2.5,2.0,1.0
Oslo,Rødt,20299.0,11053.0,31352.0,8269.0,8.3,2.0,2.0,1.0
Oslo,Andre,5752.0,3580.0,9332.0,3984.0,2.5,1.0,0.0,0.0
